1	0.714 seconds
2	0.075 seconds
3	0.058 seconds
4	1.369 seconds
5	0.027 seconds
6	0.489 seconds
7	0.014 seconds
8	0.165 seconds
9	0.633 seconds
10	1.065 seconds
11	0.009 seconds
12	0.089 seconds
